index,original_gen_str,reason
6," is 3.1 3.1
91 91 55
Fe
0.49 0.72 0.66
H
0.16 0.39 0.06
H
0.81 0.04 0.26
O
0.17 0.39 0.88
O
0.81 0.04 0.44","Invalid structure: lengths=3, angles=0, species=0"
25," the at.
0.98 0.91 0.66
at.
0.48 0.41 0.16
Yb
0.98 0.91 0.16
Yb
0.48 0.91 0.66
Yb
0.98 0.41 0.66
Yb
0.48 0.41 0.66
In
0.98 0.41 0.16
In
0.48 0.91 0.16
Hg
0.73 0.66 0.41
Hg
0.73 0.16 0.91","Invalid structure: lengths=3, angles=0, species=0"
45," the
0.74 1.00 1.00
T
0.33 0.50 0.60
T
0.24 0.59 0.10
T
0.65 0.90 0.50
Zn
0.84 0.41 0.60
Zn
0.70 0.26 0.29
Zn
0.15 0.08 0.10
Zn
0.29 0.23 0.41
Zn
0.38 0.76 0.91
Zn
0.06 0.05 0.62
Zn
0.82 0.62 0.00
Zn
0.43 0.94 0.69
Zn
0.68 0.46 0.99
Zn
0.53 0.57 0.49
Zn
0.95 0.92 0.19
Zn
0.17 0.88 0.50
Rh
0.05 0.67 0.81
Rh
0.33 0.28 0.80
Rh
0.86 0.20 0.80
Rh
0.54 0.79 0.21
Rh
0.13 0.20 0.79
Rh
0.64 0.72 0.71
Rh
0.95 0.39 0.30
Rh
0.46 0.19 0.21","Invalid structure: lengths=3, angles=0, species=0"
108," is.73 0.73 i.e.
59
0.33 0.06 0.54
Bi
0.07 0.57 0.04
Bi
0.57 0.34 0.04
Ir
0.98 0.97 0.87
Ir
0.65 0.64 0.30
S
0.14 0.13 0.95
S
0.49 0.97 0.14
S
0.00 0.48 0.49
S
0.63 0.64 0.59","Invalid structure: lengths=3, angles=0, species=0"
180," is 3.1
150.0
154 123 63
Ga
0.93 0.82 0.44
Ga
0.93 0.22 0.69
Ga
0.33 0.62 0.69
Ga
0.53 0.22 0.09
Ga
0.53 0.82 0.29
Ga
0.33 0.02 0.09
Si
0.93 0.61 0.29
Si
0.33 0.42 0.69
Si
0.33 0.02 0.89
Si
0.93 0.42 0.49
Si
0.52 0.42 0.89
Si
0.52 0.81 0.09
Si
0.92 0.02 0.49
Si
0.52 0.23 0.09
Si
0.34 0.61 0.69
Si
0.34 0.23 0.89
Si
0.94 0.61 0.49
Si
0.94 0.02 0.29
Si
0.34 0.82 0.89
Si
0.52 0.02 0.09
C
0.91 0.50 0.31
C
0.91 0.82 0.49
C
0.35 0.40 0.69
C
0.35 0.82 0.87
C
0.91 0.22 0.69
C
0.35 0.22 0.99
C
0.35 0.04 0.87
C
0.91 0.63 ","Invalid structure: lengths=3, angles=0, species=0"
282," is.14 0.19 i.04
Ti
0.92 0.28 0.73
Ti
0.43 0.78 0.73
Ni
0.27 0.17 0.53
Ni
0.77 0.67 0.52
Ni
0.77 0.17 0.53
Ni
0.27 0.67 0.52
Ni
0.07 0.39 0.24
Ni
0.58 0.88 0.24
Ni
0.58 0.38 0.24
Ni
0.08 0.88 0.24
Sn
0.93 0.78 0.73
Sn
0.43 0.28 0.73
Sn
0.13 0.58 0.93
Sn
0.64 0.08 0.92
P
0.43 0.78 0.33
P
0.93 0.28 0.33","Invalid structure: lengths=3, angles=0, species=0"
404," the at.
0.81 0.17 0.94
the at.
1.00 0.53 0.94
the.00 0.17 0.29
The element type and coordinates for each atom within the lattice:1.00 0.53 0.29
The element type and coordinates for each atom within the material:0.35 0.17 0.94
Tb
0.65 0.89 0.29
Tb
0.65 0.53 0.59
Tb
0.35 0.89 0.59
O
0.65 0.17 0.44
O
0.65 0.67 0.94
O
0.15 0.67 0.44
O
0.15 0.17 0.94
Se
0.31 0.50 0.76
Se
0.31 0.21 0.62
Se
0.99 0.84 0.62
Se
0.99 0.21 0.62
Se
0.65 0.84 0.76
Se
0.65 0.50 0.26
Se
0.99 0.84 0.26
Se
0.31 0.50 0.26","Invalid structure: lengths=3, angles=0, species=16"
706," the0.70 0.05 1.00
Ca
0.44 0.24 0.73
Ca
0.94 0.50 0.23
Ca
0.38 0.74 0.23
Ca
0.88 1.00 0.73
Cd
0.92 0.77 0.99
Cd
0.42 0.47 0.49
Cd
0.92 0.27 0.49
Cd
0.42 0.97 0.99
Ge
0.81 0.68 0.61
Ge
0.31 0.55 0.81
Ge
0.00 0.18 0.11
Ge
0.50 0.05 0.31","Invalid structure: lengths=3, angles=0, species=0"
715," the h0:0.85 1.00 1.00
hg
0.57 0.28 0.71
hg
0.07 0.78 0.21
Br
0.33 0.97 0.70
Br
0.83 0.47 0.20
Cl
0.87 0.11 0.73
Cl
0.37 0.61 0.23","Invalid structure: lengths=3, angles=0, species=0"
748," the.61 0.61 we.04
0.03 0.31 0.44
0.53 0.81 0.44
Sb
0.35 0.00 0.13
Sb
0.85 0.50 0.13
Sb
0.72 0.21 0.76
Sb
0.22 0.71 0.76
Mg
0.12 0.91 0.44
Mg
0.62 0.41 0.44
Mg
0.43 0.60 0.23
Mg
0.93 0.10 0.65","Invalid structure: lengths=3, angles=3, species=0"
