lengths,angles,species,coords
"[4.2, 4.2, 6.7]","[90.0, 90.0, 120.0]","['Ga', 'Ga', 'Te', 'Te']","[[0.37, 0.85, 0.89], [0.03, 0.19, 0.39], [0.37, 0.85, 0.51], [0.03, 0.19, 0.01]]"
"[3.7, 3.7, 8.9]","[90.0, 90.0, 120.0]","['Sm', 'Th', 'C', 'N', 'N']","[[0.84, 0.4, 0.14], [0.17, 0.07, 0.8], [0.51, 0.73, 0.48], [0.51, 0.73, 0.31], [0.84, 0.4, 0.73]]"
"[2.5, 2.5, 4.1]","[90.0, 90.0, 120.0]","['Cu', 'Ni']","[[0.41, 0.33, 0.06], [0.07, 0.66, 0.56]]"
"[3.4, 5.6, 13.1]","[90.0, 90.0, 90.0]","['Na', 'Na', 'Ti', 'Ti', 'V', 'V', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']","[[0.94, 0.4, 0.37], [0.44, 0.89, 0.87], [0.94, 0.89, 0.12], [0.44, 0.39, 0.62], [0.94, 0.89, 0.62], [0.44, 0.39, 0.12], [0.44, 0.05, 0.24], [0.94, 0.54, 0.74], [0.94, 0.54, 0.01], [0.44, 0.05, 0.51], [0.94, 0.04, 0.01], [0.44, 0.55, 0.51], [0.44, 0.55, 0.24], [0.94, 0.04, 0.74]]"
"[5.3, 5.3, 8.5]","[89.0, 90.0, 119.0]","['Ho', 'Ho', 'Ho', 'Tm', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn']","[[0.12, 0.28, 0.87], [0.46, 0.95, 0.0], [0.46, 0.95, 0.37], [0.12, 0.28, 0.5], [0.79, 0.61, 0.93], [0.79, 0.61, 0.43], [0.62, 0.28, 0.68], [0.96, 0.45, 0.18], [0.46, 0.45, 0.18], [0.12, 0.78, 0.68], [0.62, 0.78, 0.68], [0.96, 0.94, 0.18]]"
"[3.1, 5.2, 5.2]","[77.0, 90.0, 90.0]","['Li', 'Li', 'Mn', 'Mn', 'O', 'O', 'O', 'O']","[[0.54, 0.62, 0.43], [0.04, 0.12, 0.43], [0.04, 0.62, 0.93], [0.54, 0.12, 0.93], [0.04, 0.38, 0.16], [0.54, 0.89, 0.15], [0.04, 0.86, 0.7], [0.54, 0.36, 0.71]]"
"[91.0, 91.0, 55.0]",[],[],[]
"[5.1, 5.1, 8.5]","[90.0, 90.0, 96.0]","['Al', 'Al', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au']","[[0.38, 0.71, 0.12], [0.62, 0.47, 0.62], [0.87, 0.22, 0.12], [0.13, 0.96, 0.62], [0.95, 0.76, 0.37], [0.05, 0.42, 0.87], [0.58, 0.89, 0.87], [0.42, 0.29, 0.37], [0.91, 0.78, 0.74], [0.09, 0.4, 0.24], [0.56, 0.93, 0.51], [0.44, 0.25, 0.01]]"
"[4.7, 6.5, 6.5]","[97.0, 111.0, 68.0]","['Sm', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Mo', 'Mo']","[[0.86, 0.09, 0.12], [0.36, 0.09, 0.62], [0.86, 0.09, 0.62], [0.36, 0.59, 0.12], [0.86, 0.59, 0.12], [0.59, 0.86, 0.35], [0.13, 0.32, 0.89], [0.36, 0.85, 0.88], [0.36, 0.32, 0.35], [0.49, 0.45, 0.77], [0.22, 0.73, 0.49], [0.86, 0.45, 0.49], [0.86, 0.73, 0.77]]"
"[7.2, 7.1, 4.0]","[90.0, 90.0, 120.0]","['Sm', 'Ho', 'Ho', 'Ho', 'Ho', 'Ho', 'Ni', 'Ni', 'Ni', 'Ni']","[[0.1, 0.98, 0.19], [0.51, 0.8, 0.19], [0.68, 0.39, 0.19], [0.1, 0.64, 0.69], [0.84, 0.14, 0.69], [0.35, 0.39, 0.69], [0.1, 0.39, 0.19], [0.77, 0.73, 0.69], [0.43, 0.06, 0.69], [0.1, 0.22, 0.69]]"
"[4.5, 4.5, 4.5]","[59.0, 59.0, 59.0]","['Sc', 'Al', 'Rh', 'Rh']","[[0.09, 0.28, 0.37], [0.59, 0.78, 0.87], [0.34, 0.53, 0.62], [0.84, 0.03, 0.12]]"
"[5.4, 5.4, 5.4]","[140.0, 140.0, 57.0]","['Sm', 'Co', 'Co', 'B', 'B']","[[0.99, 0.16, 0.44], [0.74, 0.41, 0.94], [0.24, 0.91, 0.94], [0.65, 0.82, 0.44], [0.33, 0.5, 0.44]]"
"[6.4, 6.4, 14.4]","[90.0, 90.0, 90.0]","['K', 'K', 'Hg', 'Hg', 'Hg', 'Ge', 'Ge', 'Ge', 'Ge', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']","[[0.47, 0.88, 0.47], [0.98, 0.88, 0.97], [0.23, 0.38, 0.22], [0.73, 0.38, 0.72], [0.47, 0.88, 0.72], [0.98, 0.88, 0.22], [0.22, 0.38, 0.97], [0.74, 0.38, 0.47], [0.47, 0.88, 0.21], [0.98, 0.38, 0.06], [0.98, 0.38, 0.57], [0.47, 0.38, 0.06], [0.47, 0.38, 0.56], [0.23, 0.88, 0.21], [0.23, 0.88, 0.71], [0.72, 0.88, 0.21], [0.74, 0.88, 0.71], [0.98, 0.88, 0.37], [0.97, 0.88, 0.87], [0.47, 0.38, 0.37], [0.47, 0.38, 0.87]]"
"[5.3, 5.3, 8.5]","[90.0, 90.0, 119.0]","['Zr', 'Zr', 'Zr', 'Zr', 'V', 'V', 'Re', 'Re', 'Re', 'Re', 'Re', 'Re']","[[0.69, 0.7, 0.47], [0.03, 0.37, 0.6], [0.03, 0.37, 0.97], [0.69, 0.7, 0.1], [0.36, 0.04, 0.53], [0.36, 0.04, 0.03], [0.19, 0.2, 0.28], [0.19, 0.7, 0.28], [0.69, 0.2, 0.28], [0.52, 0.87, 0.78], [0.52, 0.37, 0.78], [0.03, 0.87, 0.78]]"
"[3.7, 5.3, 7.0]","[90.0, 90.0, 90.0]","['Hf', 'Hf', 'Hf', 'Hf', 'Al', 'Al', 'Si', 'Si']","[[0.17, 0.7, 0.54], [0.17, 0.47, 0.04], [0.67, 0.97, 0.19], [0.67, 0.2, 0.69], [0.67, 0.7, 0.84], [0.67, 0.47, 0.34], [0.17, 0.2, 0.4], [0.17, 0.97, 0.9]]"
"[7.5, 7.5, 7.5]","[119.0, 119.0, 90.0]","['Eu', 'Eu', 'Eu', 'Eu', 'Cr', 'Cr', 'Sb', 'Sb', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[[0.01, 0.8, 0.47], [0.01, 0.3, 0.97], [0.51, 0.3, 0.97], [0.01, 0.3, 0.47], [0.51, 0.3, 0.47], [0.01, 0.8, 0.97], [0.51, 0.8, 0.97], [0.51, 0.8, 0.47], [0.18, 0.13, 0.72], [0.43, 0.43, 0.72], [0.14, 0.73, 0.72], [0.43, 0.13, 0.3], [0.18, 0.73, 0.14], [0.59, 0.13, 0.72], [0.84, 0.48, 0.22], [0.59, 0.88, 0.22], [0.86, 0.88, 0.72], [0.59, 0.48, 0.39], [0.86, 0.88, 0.05], [0.18, 0.13, 0.22], [0.43, 0.73, 0.72], [0.86, 0.48, 0.72]]"
"[0.77, 7.4, 6.4]","[90.0, 90.0, 102.0]","['Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Te', 'Te', 'Te', 'Te', 'Se', 'Se']","[[0.58, 0.59, 0.43], [0.07, 0.08, 0.93], [0.57, 0.59, 0.93], [0.07, 0.08, 0.43], [0.33, 0.84, 0.68], [0.83, 0.34, 0.18], [0.27, 0.57, 0.18], [0.78, 0.07, 0.68], [0.68, 0.84, 0.18], [0.18, 0.34, 0.68], [0.18, 0.34, 0.18], [0.77, 0.84, 0.68]]"
"[3.3, 5.2, 8.5]","[90.0, 90.0, 90.0]","['Mg', 'Cd', 'Cd', 'Cd', 'Cd', 'Cd']","[[0.16, 0.98, 0.28], [0.16, 0.98, 0.78], [0.16, 0.48, 0.04], [0.16, 0.48, 0.52], [0.66, 0.98, 0.51], [0.66, 0.98, 0.05]]"
"[3.8, 5.2, 10.0]","[82.0, 90.0, 90.0]","['Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'N', 'N', 'N', 'N', 'O', 'O', 'O', 'O', 'O', 'O']","[[0.38, 0.54, 0.57], [0.37, 0.16, 0.83], [0.4, 0.88, 0.2], [0.87, 0.95, 0.02], [0.88, 0.31, 0.36], [0.89, 0.68, 0.71], [0.39, 0.3, 0.36], [0.39, 0.57, 0.02], [0.88, 0.66, 0.2], [0.88, 0.94, 0.57], [0.38, 0.79, 0.37], [0.38, 0.07, 0.03], [0.39, 0.44, 0.72], [0.39, 0.16, 0.69], [0.89, 0.8, 0.83], [0.89, 0.18, 0.84]]"
"[4.2, 4.2, 5.8]","[90.0, 90.0, 90.0]","['Sb', 'Sb', 'N', 'N', 'O', 'O']","[[0.88, 0.07, 0.2], [0.38, 0.57, 0.78], [0.88, 0.07, 0.65], [0.38, 0.57, 0.33], [0.88, 0.57, 0.99], [0.38, 0.07, 0.99]]"
"[4.0, 4.0, 15.2]","[90.0, 90.0, 120.0]","['Tm', 'Tm', 'Tm', 'Tm', 'Ni', 'Ni', 'Ni', 'Ni', 'As', 'As', 'As', 'As']","[[0.91, 0.31, 0.94], [0.91, 0.31, 0.44], [0.91, 0.31, 0.69], [0.91, 0.31, 0.19], [0.24, 0.98, 0.81], [0.57, 0.64, 0.56], [0.57, 0.64, 0.31], [0.24, 0.98, 0.06], [0.24, 0.98, 0.32], [0.57, 0.64, 0.05], [0.57, 0.64, 0.82], [0.24, 0.98, 0.55]]"
"[5.3, 5.3, 11.7]","[63.0, 63.0, 60.0]","['P', 'P', 'P', 'P', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[[0.67, 0.92, 0.61], [0.22, 0.46, 0.37], [0.92, 0.02, 0.87], [0.12, 0.22, 0.11], [0.78, 0.75, 0.67], [0.39, 0.36, 0.32], [0.56, 0.7, 0.82], [0.44, 0.58, 0.17], [0.86, 0.91, 0.45], [0.23, 0.29, 0.53], [0.09, 0.9, 0.93], [0.24, 0.05, 0.05], [0.14, 0.48, 0.73], [0.66, 0.0, 0.23]]"
"[5.0, 5.0, 7.9]","[90.0, 90.0, 119.0]","['Mg', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge']","[[0.68, 0.64, 0.27], [0.18, 0.14, 0.02], [0.18, 0.64, 0.02], [0.68, 0.14, 0.02], [0.18, 0.14, 0.52], [0.18, 0.64, 0.52], [0.68, 0.14, 0.52], [0.34, 0.97, 0.27], [0.01, 0.3, 0.27], [0.34, 0.97, 0.77], [0.01, 0.3, 0.77], [0.68, 0.64, 0.92], [0.68, 0.64, 0.62]]"
"[8.4, 8.4, 8.4]","[59.0, 59.0, 59.0]","['Cs', 'Cs', 'Ce', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']","[[0.91, 0.67, 0.99], [0.41, 0.17, 0.49], [0.66, 0.42, 0.74], [0.43, 0.65, 0.48], [0.89, 0.19, 0.01], [0.89, 0.19, 0.48], [0.43, 0.65, 0.01], [0.89, 0.65, 0.48], [0.43, 0.19, 0.01]]"
"[4.8, 4.8, 7.9]","[90.0, 90.0, 120.0]","['Ta', 'Ta', 'Ta', 'Al', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe']","[[0.4, 0.18, 0.63], [0.73, 0.85, 0.76], [0.73, 0.85, 0.13], [0.4, 0.18, 0.26], [0.07, 0.52, 0.69], [0.07, 0.52, 0.2], [0.9, 0.69, 0.44], [0.9, 0.17, 0.44], [0.41, 0.69, 0.44], [0.24, 0.35, 0.95], [0.24, 0.86, 0.95], [0.72, 0.35, 0.95]]"
"[0.98, 0.91, 0.66]",[],[],[]
"[0.94, 9.4, 9.4]","[119.0, 90.0, 90.0]","['Ga', 'Ga', 'Ga', 'Ga', 'Cu', 'Cu', 'Cu', 'Cu', 'Ge', 'Ge', 'Ge', 'Ge', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se']","[[0.04, 0.28, 0.43], [0.04, 0.94, 0.77], [0.54, 0.94, 0.77], [0.54, 0.28, 0.43], [0.87, 0.99, 0.38], [0.87, 0.7, 0.82], [0.61, 0.22, 0.86], [0.61, 0.61, 0.34], [0.12, 0.66, 0.39], [0.12, 0.24, 0.07], [0.36, 0.57, 0.8], [0.36, 0.97, 0.13], [0.68, 0.91, 0.51], [0.68, 0.52, 0.69], [0.98, 0.36, 0.75], [0.98, 0.68, 0.11], [0.41, 0.6, 0.51], [0.41, 0.04, 0.68], [0.08, 0.2, 0.27], [0.08, 0.88, 0.94], [0.48, 0.28, 0.09], [0.48, 0.94, 0.03], [0.18, 0.54, 0.93], [0.18, 0.09, 0.45]]"
"[7.9, 5.5, 5.6]","[89.0, 90.0, 90.0]","['La', 'Pr', 'Pr', 'Pr', 'Ga', 'Ga', 'Ga', 'Ga', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[[0.02, 0.7, 0.84], [0.52, 0.2, 0.26], [0.52, 0.69, 0.75], [0.02, 0.19, 0.34], [0.77, 0.7, 0.3], [0.27, 0.2, 0.8], [0.27, 0.7, 0.3], [0.77, 0.2, 0.8], [0.72, 0.9, 0.09], [0.32, 0.99, 0.59], [0.22, 0.49, 0.51], [0.82, 0.4, 0.01], [0.82, 0.49, 0.51], [0.22, 0.4, 0.01], [0.32, 0.9, 0.09], [0.72, 0.99, 0.59], [0.02, 0.12, 0.78], [0.02, 0.77, 0.28], [0.52, 0.27, 0.82], [0.52, 0.62, 0.32]]"
"[7.6, 6.5, 5.6]","[78.0, 56.0, 46.0]","['Sm', 'B', 'B', 'B', 'B', 'Os', 'Os', 'Os', 'Os', 'Os', 'Os']","[[0.56, 0.3, 0.83], [0.19, 0.93, 0.7], [0.89, 0.66, 0.47], [0.74, 0.55, 0.58], [0.44, 0.11, 0.42], [0.97, 0.96, 0.68], [0.23, 0.69, 0.94], [0.71, 0.18, 0.44], [0.96, 0.95, 0.19], [0.22, 0.2, 0.43], [0.47, 0.45, 0.18]]"
