Task,LLaMat3-chat,LLaMat3,LLaMA3-chat-FT,LLaMA3-FT,LLaMat2-chat,LLaMat2,LLaMA2-chat-FT,LLaMA2-FT,Claude-3.5-Sonnet,Claude-3-Opus,Claude-3-Haiku,Gemini-1.5-Pro,Gemini-1.5-Flash,Gemini-1.5-Flash-8b,GPT-4o,GPT-4
"(ner, matscholar)",85.33,79.96,78.66,78.87,80.22,79.85,79.87,77.42,33.38,21.85,0.06,29.18,6.04,6.96,12.78,16.01
"(ner, sofc_token)",80.07,75.76,76.1,78.61,79.5,77.11,78.0,77.94,71.44,57.9,5.66,66.42,1.37,36.09,69.98,63.69
"(ner, sc_comics)",87.91,85.07,76.64,87.06,89.26,88.58,88.13,88.44,48.52,46.01,19.9,51.45,46.91,42.36,41.51,41.62
"(pc, glass_non_glass)",93.36,83.04,85.28,90.65,92.16,90.72,90.22,90.22,60.32,55.13,55.26,67.94,72.01,76.7,73.32,65.7
"(sf, sofc_token)",77.62,73.3,72.49,73.22,78.94,76.41,71.04,70.5,63.64,62.42,2.28,10.63,0.0,2.52,71.14,61.56
"(ee, sc_comics)",92.07,73.18,76.46,91.07,94.52,93.61,93.04,88.6,89.42,90.25,74.23,87.76,76.77,74.53,94.48,75.4
"(re, structured_re)",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.74,85.91,98.11,99.55,97.57,95.53,98.86
"(re, sc_comics)",92.89,92.5,49.64,66.36,99.81,99.81,99.81,100.0,52.88,20.43,44.27,40.41,35.41,19.41,50.58,18.88
"(sar, synthesis_actions)",94.76,94.3,93.4,93.74,94.77,94.01,95.96,94.3,65.74,54.21,20.97,61.42,61.38,51.38,59.4,53.73
"(sc, sofc_sent)",80.54,78.37,79.08,78.96,78.17,77.09,77.91,73.72,36.22,23.51,21.25,27.05,40.46,45.62,55.48,44.65
"(qna, squad)",72.52,72.06,72.9,72.34,74.1,73.82,72.52,74.56,0.65,3.67,0.0,71.32,67.34,66.76,47.46,6.57
"(mcq, hellaswag)",78.26,83.45,84.08,84.17,81.7,81.42,82.12,83.02,84.02,86.4,77.43,86.61,82.36,70.51,89.33,53.32
"(mcq, boolqa)",83.75,83.8,85.02,85.26,85.16,84.75,83.61,85.37,89.13,88.17,87.81,88.89,90.12,86.83,88.06,90.48
"(mcq, story_cloze)",98.46,98.15,98.76,97.53,97.53,96.3,97.53,96.91,99.69,97.87,87.56,99.38,99.38,98.76,88.46,39.5
