model,acronym,applications,name,formula,structure_or_phase,description,parsable
llamat3-chat,0.353,0.571,0.338,0.6,0.403,0.365,41/45
llamat3,0.353,0.621,0.347,0.511,0.484,0.375,38/45
llama3-chat,0.111,0.471,0.417,0.604,0.169,0.261,39/45
llama3,0.154,0.596,0.406,0.629,0.305,0.357,39/45
llamat2-chat,0.133,0.682,0.32,0.661,0.693,0.393,44/45
llamat2,0.0,0.696,0.212,0.716,0.728,0.385,40/45
llama2-chat,0.0,0.671,0.31,0.631,0.525,0.34,44/45
llama2,0.0,0.634,0.328,0.679,0.526,0.343,38/45
Claude-3.5-Sonnet,0.24,0.236,0.111,0.239,0.137,0.035,41/45
Claude-3-Opus,0.143,0.095,0.071,0.386,0.174,0.041,41/45
Claude-3-Haiku,0.12,0.124,0.034,0.238,0.101,0.044,39/45
Gemini-1.5-pro,0.235,0.182,0.048,0.305,0.075,0.031,43/45
Gemini-1.5-flash,0.19,0.335,0.229,0.302,0.161,0.045,44/45
Gemini-1.5-Flash-8b,0.1,0.387,0.055,0.374,0.193,0.026,43/45
GPT-4o,0.273,0.253,0.032,0.316,0.236,0.037,43/45
GPT-4,0.176,0.135,0.065,0.332,0.075,0.03,42/45
