
Settings:
RANK=1
ADDR=10.42.95.140
N_NODES=2
DATA_PATH=/datasets-alt/mat_llama/may11_processed_data/train_llama3_text_document
CHECKPOINT_PATH=//datasets-alt/mat_llama/megatron_llama/pretrain_ckpt_june18/mat_llama_june18/iter_0004000/
MODEL=llama3
TP=1
PP=4
MICRO_BATCH=2
GLOBAL_BATCH=1024
EVAL_ITERS=217

Checkpoint not found to provide arguments, using provided arguments.
Checkpoint not found to provide arguments, using provided arguments.
Checkpoint not found to provide arguments, using provided arguments.
Checkpoint not found to provide arguments, using provided arguments.
Checkpoint not found to provide arguments, using provided arguments.
Checkpoint not found to provide arguments, using provided arguments.
Checkpoint not found to provide arguments, using provided arguments.
Checkpoint not found to provide arguments, using provided arguments.

Settings:
RANK=1
ADDR=10.42.95.140
N_NODES=2
DATA_PATH=/datasets-alt/mat_llama/may11_processed_data/train_llama3_text_document
CHECKPOINT_PATH=/datasets-alt/mat_llama/may11_ckpt_8b/
MODEL=llama3
TP=1
PP=4
MICRO_BATCH=2
GLOBAL_BATCH=1024
EVAL_ITERS=217

 > number of parameters on (tensor, pipeline) model parallel rank (0, 3): 2270236672
 > number of parameters on (tensor, pipeline) model parallel rank (0, 2): 1744896000
(min, max) time across ranks (ms):
    load-checkpoint ................................: (36958.68, 36959.08)
(min, max) time across ranks (ms):
    model-and-optimizer-setup ......................: (38044.19, 38057.54)
    train/valid/test-data-iterators-setup ..........: (11794.75, 11889.24)
 iteration        1/   12944 | consumed samples:         1024 | elapsed time per iteration (ms): 59275.9 | rate (tokens/sec): 35379.51 | learning rate: 3.500E-08 | global batch size:  1024 | lm loss: 1.764125E+00 | loss scale: 1.0 | grad norm: 0.717 | number of skipped iterations:   0 | number of nan iterations:   0 |
[Rank 8] (after 1 iterations) memory (MB) | allocated: 30033.376953125 | max allocated: 30873.4013671875 | reserved: 38382.0 | max reserved: 38382.0
[Rank 12] (after 1 iterations) memory (MB) | allocated: 39051.4482421875 | max allocated: 39051.5107421875 | reserved: 42074.0 | max reserved: 42074.0
 iteration        2/   12944 | consumed samples:         2048 | elapsed time per iteration (ms): 54994.1 | rate (tokens/sec): 38134.09 | learning rate: 7.000E-08 | global batch size:  1024 | lm loss: 1.764919E+00 | loss scale: 1.0 | grad norm: 0.699 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration        3/   12944 | consumed samples:         3072 | elapsed time per iteration (ms): 55498.1 | rate (tokens/sec): 37787.81 | learning rate: 1.050E-07 | global batch size:  1024 | lm loss: 1.752021E+00 | loss scale: 1.0 | grad norm: 0.712 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration        4/   12944 | consumed samples:         4096 | elapsed time per iteration (ms): 54905.0 | rate (tokens/sec): 38196.02 | learning rate: 1.400E-07 | global batch size:  1024 | lm loss: 1.756047E+00 | loss scale: 1.0 | grad norm: 0.721 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration        5/   12944 | consumed samples:         5120 | elapsed time per iteration (ms): 54759.8 | rate (tokens/sec): 38297.30 | learning rate: 1.750E-07 | global batch size:  1024 | lm loss: 1.782404E+00 | loss scale: 1.0 | grad norm: 0.710 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration        6/   12944 | consumed samples:         6144 | elapsed time per iteration (ms): 57924.6 | rate (tokens/sec): 36204.88 | learning rate: 2.100E-07 | global batch size:  1024 | lm loss: 1.773082E+00 | loss scale: 1.0 | grad norm: 0.698 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration        7/   12944 | consumed samples:         7168 | elapsed time per iteration (ms): 55928.7 | rate (tokens/sec): 37496.90 | learning rate: 2.450E-07 | global batch size:  1024 | lm loss: 1.754313E+00 | loss scale: 1.0 | grad norm: 0.730 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration        8/   12944 | consumed samples:         8192 | elapsed time per iteration (ms): 55893.2 | rate (tokens/sec): 37520.68 | learning rate: 2.800E-07 | global batch size:  1024 | lm loss: 1.752589E+00 | loss scale: 1.0 | grad norm: 0.711 | number of skipped iterations:   0 | number of nan iterations:   0 |
 iteration        9/   12944 | consumed samples:         9216 | elapsed time per iteration (ms): 55321.1 | rate (tokens/sec): 37908.70 | learning rate: 3.150E-07 | global batch size:  1024 | lm loss: 1.772259E+00 | loss scale: 1.0 | grad norm: 0.718 | number of skipped iterations:   0 | number of nan iterations:   0 |
