journal,priority_zaki,priority_anoop,papers,publisher,
Journal_of_Alloys_and_Compounds,1,,66829,elsevier,
Science_of_The_Total_Environment,1,,59490,elsevier,
Applied_Surface_Science,1,,51627,elsevier,
Chemical_Engineering_Journal,1,,42530,elsevier,
Environmental_Science_and_Pollution_Research,2,,40584,springer,
International_Journal_of_Hydrogen_Energy,1,,39913,elsevier,
Journal_of_Biological_Chemistry,2,,39370,elsevier,
Ceramics_International,1,,37643,elsevier,
Journal_of_Cleaner_Production,1,,37118,elsevier,
Chemosphere,1,,36689,elsevier,
Electrochimica_Acta,1,,34396,elsevier,
Food_Chemistry,2,,33565,elsevier,
"Nuclear_Instruments_and_Methods_in_Physics_Research_Section_A:_Accelerators,_Spectrometers,_Detectors_and_Associated_Equipment",1,,32843,elsevier,
Materials_Science_and_Engineering:_A,1,,32692,elsevier,
Materials_Letters,1,,32352,elsevier,
Construction_and_Building_Materials,1,,32032,elsevier,
Materials_Today:_Proceedings,1,,29214,elsevier,
Chemical_Physics_Letters,1,,29134,elsevier,
Journal_of_Power_Sources,1,,29025,elsevier,
Journal_of_Magnetism_and_Magnetic_Materials,1,,28963,elsevier,
Sensors_and_Actuators_B:_Chemical,1,,28918,elsevier,
Thin_Solid_Films,1,,28717,elsevier,
Journal_of_Hazardous_Materials,1,,28079,elsevier,
Energy,1,,27850,elsevier,
Fuel,1,,27139,elsevier,
Journal_of_Chromatography_A,2,,27108,elsevier,
Physica_B:_Condensed_Matter,1,,25837,elsevier,
Physics_Letters_B,1,,25275,elsevier,
Journal_of_Molecular_Structure,1,,25108,elsevier,
Journal_of_Colloid_and_Interface_Science,1,,23735,elsevier,
Optics_Communications,1,,22853,elsevier,
Surface_and_Coatings_Technology,1,,22848,elsevier,
Journal_of_Materials_Science:_Materials_in_Electronics,1,,22554,springer,
Colloids_and_Surfaces_A:_Physicochemical_and_Engineering_Aspects,1,,22445,elsevier,
Polymer,1,,22402,elsevier,
International_Journal_of_Heat_and_Mass_Transfer,2,,21697,elsevier,
Journal_of_Crystal_Growth,1,,21330,elsevier,
Physica_A:_Statistical_Mechanics_and_its_Applications,2,,21267,elsevier,
Applied_Mathematics_and_Computation,2,,20809,elsevier,
Nuclear_Instruments_and_Methods_in_Physics_Research_Section_B:_Beam_Interactions_with_Materials_and_Atoms,1,,20658,elsevier,
Environmental_Pollution,2,,20507,elsevier,
Journal_of_Molecular_Liquids,1,,20506,elsevier,
Applied_Thermal_Engineering,1,,20484,elsevier,
Spectrochimica_Acta_Part_A:_Molecular_and_Biomolecular_Spectroscopy,2,,20393,elsevier,
Applied_Energy,1,,19899,elsevier,
Materials_Chemistry_and_Physics,1,,19552,elsevier,
Optik,1,,19392,elsevier,
Journal_of_Materials_Science,1,,19030,springer,
Physics_Letters_A,1,,18975,elsevier,
Carbohydrate_Polymers,2,,18858,elsevier,
Renewable_Energy,1,,18200,elsevier,
International_Journal_of_Pharmaceutics,2,,17666,elsevier,
Journal_of_Membrane_Science,1,,17334,elsevier,
Carbon,1,,16998,elsevier,
Separation_and_Purification_Technology,1,,16810,elsevier,
Journal_of_Non-Crystalline_Solids,1,,16423,elsevier,
Journal_of_Nuclear_Materials,1,,15976,elsevier,
Acta_Materialia,1,,15938,elsevier,
Energy_Conversion_and_Management,3,,15906,elsevier,
Chemical_Engineering_Science,1,,15894,elsevier,
Biomaterials,2,,15810,elsevier,
Analytical_and_Bioanalytical_Chemistry,2,,15265,springer,
Composite_Structures,1,,15227,elsevier,
Engineering_Structures,2,,15124,elsevier,
Applied_Catalysis_B:_Environmental,1,,14239,elsevier,
Inorganica_Chimica_Acta,1,,14106,elsevier,
Powder_Technology,1,,14027,elsevier,
Journal_of_Materials_Processing_Technology,1,,13829,elsevier,
Journal_of_the_European_Ceramic_Society,1,,13602,elsevier,
Journal_of_Luminescence,1,,13566,elsevier,
Journal_of_Electroanalytical_Chemistry,1,,13529,elsevier,
